Player,Trait,Matches,Top4,RateTop4,Avg. Place
Exoddia#MOGe,Riftscourge,1,1,"100,00%",1
Exoddia#MOGe,Rune Mage,8,8,"100,00%",2
Exoddia#MOGe,Emperor,11,10,"90,91%",2.5454545454545454
Exoddia#MOGe,Shurima,11,10,"90,91%",2.5454545454545454
Exoddia#MOGe,Dragonborn,22,18,"81,82%",2.6818181818181817
Exoddia#MOGe,Eternal,20,16,"80,00%",2.95
Exoddia#MOGe,Ascendant,1,1,"100,00%",3
Exoddia#MOGe,Darkin,5,3,"60,00%",3.2
Exoddia#MOGe,Targon,22,16,"72,73%",3.3181818181818183
Exoddia#MOGe,Glutton,12,8,"66,67%",3.3333333333333335
Exoddia#MOGe,The Boss,5,3,"60,00%",3.4
Exoddia#MOGe,Chronokeeper,2,1,"50,00%",3.5
Exoddia#MOGe,Soulbound,30,20,"66,67%",3.5
Exoddia#MOGe,Quickstriker,42,27,"64,29%",3.7142857142857144
Exoddia#MOGe,Blacksmith,16,10,"62,50%",3.8125
Exoddia#MOGe,Bilgewater,20,11,"55,00%",3.9
Exoddia#MOGe,Freljord,45,27,"60,00%",3.911111111111111
Exoddia#MOGe,Harvester,17,10,"58,82%",3.9411764705882355
Exoddia#MOGe,Warden,32,19,"59,38%",3.96875
Exoddia#MOGe,Chainbreaker,1,1,"100,00%",4
Exoddia#MOGe,Heroic,1,1,"100,00%",4
Exoddia#MOGe,HexMech,2,1,"50,00%",4
Exoddia#MOGe,Gunslinger,37,21,"56,76%",4.054054054054054
Exoddia#MOGe,Disruptor,28,17,"60,71%",4.142857142857143
Exoddia#MOGe,Noxus,39,22,"56,41%",4.205128205128205
Exoddia#MOGe,Juggernaut,53,28,"52,83%",4.226415094339623
Exoddia#MOGe,Caretaker,4,2,"50,00%",4.25
Exoddia#MOGe,Piltover,27,15,"55,56%",4.37037037037037
Exoddia#MOGe,Bruiser,41,19,"46,34%",4.463414634146342
Exoddia#MOGe,Ixtal,30,15,"50,00%",4.466666666666667
Exoddia#MOGe,Defender,62,31,"50,00%",4.532258064516129
Exoddia#MOGe,Zaun,28,14,"50,00%",4.642857142857143
Exoddia#MOGe,Ionia,31,15,"48,39%",4.709677419354839
Exoddia#MOGe,Vanquisher,35,16,"45,71%",4.771428571428571
Exoddia#MOGe,Arcanist,50,22,"44,00%",4.8
Exoddia#MOGe,Dark Child,22,10,"45,45%",4.818181818181818
Exoddia#MOGe,Invoker,30,12,"40,00%",4.9
Exoddia#MOGe,Yordle,31,13,"41,94%",4.935483870967742
Exoddia#MOGe,Assimilator,3,1,"33,33%",5
Exoddia#MOGe,Void,3,1,"33,33%",5
Exoddia#MOGe,Shadow Isles,5,3,"60,00%",5.2
Exoddia#MOGe,Huntress,5,1,"20,00%",5.4
Exoddia#MOGe,Slayer,19,5,"26,32%",5.421052631578948
Exoddia#MOGe,Longshot,15,5,"33,33%",5.466666666666667
Exoddia#MOGe,Demacia,14,2,"14,29%",6.428571428571429
