Top 4 Frequency,Matches,Traits
"44,00%",50,Arcanist
"100,00%",1,Ascendant
"33,33%",3,Assimilator
"55,00%",20,Bilgewater
"62,50%",16,Blacksmith
"46,34%",41,Bruiser
"50,00%",4,Caretaker
"100,00%",1,Chainbreaker
"50,00%",2,Chronokeeper
"45,45%",22,Dark Child
"60,00%",5,Darkin
"50,00%",62,Defender
"14,29%",14,Demacia
"60,71%",28,Disruptor
"81,82%",22,Dragonborn
"90,91%",11,Emperor
"80,00%",20,Eternal
"60,00%",45,Freljord
"66,67%",12,Glutton
"56,76%",37,Gunslinger
"58,82%",17,Harvester
"100,00%",1,Heroic
"50,00%",2,HexMech
"20,00%",5,Huntress
"40,00%",30,Invoker
"48,39%",31,Ionia
"50,00%",30,Ixtal
"52,83%",53,Juggernaut
"33,33%",15,Longshot
"56,41%",39,Noxus
"55,56%",27,Piltover
"64,29%",42,Quickstriker
"100,00%",1,Riftscourge
"100,00%",8,Rune Mage
"60,00%",5,Shadow Isles
"90,91%",11,Shurima
"26,32%",19,Slayer
"66,67%",30,Soulbound
"72,73%",22,Targon
"60,00%",5,The Boss
"45,71%",35,Vanquisher
"33,33%",3,Void
"59,38%",32,Warden
"41,94%",31,Yordle
"50,00%",28,Zaun
