Player,Trait,RateTop4,Gold Left
Exoddia#MOGe,Assimilator,"33,33%","21,33"
Exoddia#MOGe,Void,"33,33%","21,33"
Exoddia#MOGe,Longshot,"33,33%","18,00"
Exoddia#MOGe,Noxus,"56,41%","15,97"
Exoddia#MOGe,Yordle,"41,94%","15,52"
Exoddia#MOGe,Vanquisher,"45,71%","14,97"
Exoddia#MOGe,Ixtal,"50,00%","14,83"
Exoddia#MOGe,Bilgewater,"55,00%","14,60"
Exoddia#MOGe,Zaun,"50,00%","14,39"
Exoddia#MOGe,Juggernaut,"52,83%","14,08"
Exoddia#MOGe,Glutton,"66,67%","13,83"
Exoddia#MOGe,Demacia,"14,29%","13,71"
Exoddia#MOGe,Harvester,"58,82%","13,47"
Exoddia#MOGe,Arcanist,"44,00%","13,34"
Exoddia#MOGe,Piltover,"55,56%","13,22"
Exoddia#MOGe,Slayer,"26,32%","13,11"
Exoddia#MOGe,Gunslinger,"56,76%","12,30"
Exoddia#MOGe,Bruiser,"46,34%","12,24"
Exoddia#MOGe,Defender,"50,00%","12,21"
Exoddia#MOGe,Dark Child,"45,45%","12,18"
Exoddia#MOGe,Quickstriker,"64,29%","11,76"
Exoddia#MOGe,Invoker,"40,00%","11,27"
Exoddia#MOGe,Soulbound,"66,67%","11,07"
Exoddia#MOGe,Dragonborn,"81,82%","10,82"
Exoddia#MOGe,Targon,"72,73%","10,77"
Exoddia#MOGe,Emperor,"90,91%","9,91"
Exoddia#MOGe,Shurima,"90,91%","9,91"
Exoddia#MOGe,Ionia,"48,39%","9,42"
Exoddia#MOGe,Warden,"59,38%","9,34"
Exoddia#MOGe,Shadow Isles,"60,00%","9,20"
Exoddia#MOGe,Disruptor,"60,71%","8,61"
Exoddia#MOGe,Freljord,"60,00%","8,40"
Exoddia#MOGe,Eternal,"80,00%","8,10"
Exoddia#MOGe,Rune Mage,"100,00%","5,88"
Exoddia#MOGe,Blacksmith,"62,50%","5,19"
Exoddia#MOGe,Darkin,"60,00%","4,80"
Exoddia#MOGe,Caretaker,"50,00%","3,75"
Exoddia#MOGe,HexMech,"50,00%","3,00"
Exoddia#MOGe,Huntress,"20,00%","3,00"
Exoddia#MOGe,Riftscourge,"100,00%","2,00"
Exoddia#MOGe,The Boss,"60,00%","1,40"
Exoddia#MOGe,Chronokeeper,"50,00%","0,50"
Exoddia#MOGe,Ascendant,"100,00%","0,00"
Exoddia#MOGe,Chainbreaker,"100,00%","0,00"
Exoddia#MOGe,Heroic,"100,00%","0,00"
